thread_count write_intensive read_intensive read_write
1 2816194 1184546 1951066
2 1088169 1024778 1572019
3 886890 904556 1440977
4 893978 1124423 1823118
5 1247949 1228484 1969551
6 1289170 1382343 2192628
7 1402038 1387626 2281852
8 1441698 1440203 2268888
9 1418455 1440389 2281873
10 1404604 1416134 2258316
