thread_count write_intensive read_intensive read_write
1 2811197 1107873 1755966
2 901561 907789 1537068
3 895002 978326 1562411
4 1163801 1118973 1667478
5 1016318 1001594 1513579
6 1044119 1181184 1748312
7 1122364 1088928 2075606
8 1457787 1445149 2269116
9 1424650 1483448 2283145
10 1406547 1411743 2253474
